epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,1062.87,0.39685,0.31029,0.91568,0.91416,0.82885,0.90881,0.67156,0.95636,0.71127,1.31383,0.000198125,0.000198125,0.000198125
87,1075.08,0.39434,0.30684,0.92464,0.92933,0.84627,0.91398,0.68019,0.92961,0.64613,1.30106,0.00018575,0.00018575,0.00018575
88,1087.33,0.39861,0.30818,0.92159,0.89797,0.84069,0.90825,0.68216,0.95198,0.66538,1.31433,0.000173375,0.000173375,0.000173375
89,1099.54,0.38437,0.30194,0.91634,0.88823,0.84124,0.89408,0.67947,0.9212,0.67592,1.29115,0.000161,0.000161,0.000161
90,1111.78,0.37857,0.29901,0.91663,0.89281,0.86073,0.90538,0.67227,0.90957,0.6555,1.28203,0.000148625,0.000148625,0.000148625
91,1127.11,0.37969,0.29892,0.88577,0.86115,0.86822,0.89006,0.65319,0.95419,0.72986,1.32239,0.00013625,0.00013625,0.00013625
92,1139.26,0.32781,0.22881,0.85946,0.90491,0.84122,0.89255,0.64807,0.95906,0.6867,1.32737,0.000123875,0.000123875,0.000123875
93,1151.32,0.32088,0.21393,0.85847,0.88575,0.89393,0.91397,0.68065,0.93547,0.6657,1.31165,0.0001115,0.0001115,0.0001115
94,1163.43,0.30966,0.21036,0.84767,0.89438,0.86669,0.9111,0.67816,0.92131,0.65646,1.30922,9.9125e-05,9.9125e-05,9.9125e-05
95,1175.48,0.29629,0.20452,0.84249,0.87436,0.86528,0.90868,0.67982,0.92626,0.6571,1.32056,8.675e-05,8.675e-05,8.675e-05
96,1187.49,0.29476,0.20255,0.84704,0.87101,0.8942,0.91565,0.68292,0.92657,0.66757,1.32265,7.4375e-05,7.4375e-05,7.4375e-05
97,1199.54,0.29431,0.19972,0.8455,0.8833,0.85504,0.9144,0.68337,0.93139,0.66602,1.32813,6.2e-05,6.2e-05,6.2e-05
98,1211.59,0.28585,0.19808,0.83799,0.92047,0.8476,0.91881,0.67787,0.93609,0.67286,1.3518,4.9625e-05,4.9625e-05,4.9625e-05
99,1223.63,0.27893,0.19794,0.83872,0.91442,0.83991,0.91892,0.68628,0.92903,0.67016,1.34346,3.725e-05,3.725e-05,3.725e-05
100,1235.72,0.28227,0.19457,0.83722,0.9037,0.84869,0.91948,0.68661,0.92595,0.66187,1.34129,2.4875e-05,2.4875e-05,2.4875e-05
